"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"1403","Dedo para practicar 01","SM9031","1.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/0/3/1403-large_default.jpg"
"1404","Dedo para practicar 02","SM9031","1.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/0/4/1404-large_default.jpg"
"1424","Sal de baño ""Brisa Mediterranea"" 650 Gr.","ES-SALBRIS650","2.340000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/4/1424-large_default.jpg"
"1425","Sal de baño ""Bosque Mediterrano"" 650 Gr.","ES-SALBOS650","2.340000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/5/1425-large_default.jpg"
"1426","Sal de baño ""Miel natural"" 650 Gr.","ES-SALMI650","2.340000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/6/1426-large_default.jpg"
"1427","Sal de baño ""flores silvestres"" 650 Gr.","ES-SALFLO650","2.340000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/7/1427-large_default.jpg"
"1428","Vasito cristal flor  Holográfico","COM-VACRIFLOR","6.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/8/1428-large_default.jpg"
"1429","Vasito cristal flor  Holográfico 2","COM-VACRIFLOR","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/2/9/1429-large_default.jpg"
"1430","Vasito cristal flor  morada","COM-VACRIFLORMO","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/0/1430-large_default.jpg"
"1431","Vasito cristal flor Multi-colores","COM-VACRIFLORMUL","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/1/1431-large_default.jpg"
"1432","Vasito cristal flor Rosa","COM-VACRIFLOROS","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/2/1432-large_default.jpg"
"1433","Vasito cristal flor negro","COM-VACRIFLORNEG","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/3/1433-large_default.jpg"
"1434","Vasito cristal flor pequeña - nácar","COM-VACRIFLORNAC","10.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/4/1434-large_default.jpg"
"1435","Vasito cristal c/ tapa corazón","COM-VACRIFLORNAC","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/5/1435-large_default.jpg"
"1436","Vasito cristal c/ tapa hexagonal azul","COM-VACRIPEQAZUL","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/6/1436-large_default.jpg"
"1437","Vasito cristal c/ tapa hexagonal fucsia","COM-VACRIPEQFU","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/7/1437-large_default.jpg"
"1438","Vasito cristal c/ tapa cuadrada y fondo rubí","COM-VACRIPEQRUB","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/8/1438-large_default.jpg"
"1439","Vasito cristal c/ tapa cuadrada y fondo fucsia","COM-VACRIPEQFUC","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/3/9/1439-large_default.jpg"
"1491","Reposa brazo estilo Zen color rosa","NA-COJROS","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/1/1491-large_default.jpg"
"1492","Reposa brazo estilo Zen color negro","NA-COJNEGRO","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/2/1492-large_default.jpg"
"1493","Reposa brazo estilo Zen color naranja","NA-COJNEGRO","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/3/1493-large_default.jpg"
